Group 1,Area,Rotation,FTE,A trained,Skill,Transfer,Adv Role,Restrictions,IV,Fixed Requests,Flexible Requests
RN1,D,A01,1,Yes,4,,,Yes,,,
RN2,E,B01,0.75,Yes,5,,Charge,Yes,,,
RN3,E,AB04,1,,4,,,,,,
RN4,F,AB02,1,Yes,4,,,,,,
RN5,F,A03,1,Yes,5,Yes,L Code,,,,
RN6,E,A02,0.51,Yes,5,,,,,,
RN7,D,AB05,1,,2,,,,,,
RN8,E,A06,1,Yes,5,,Support,,,,
RN9,C,B01,1,,4,,,,,,
RN10,D,B04,1,Yes,4,,,,,,
RN11,D,AB05,1,,2,,,,,,
RN12,F,B05,1,Yes,5,,Code,,Yes,,
RN13,C,A02,1,Yes,4,,,,,,
RN14,D,A03,1,Yes,4,,,,,,
RN15,C,B03,0.51,Yes,5,Yes,Charge,,,,
RN16,D,A05,1,Yes,5,,Charge,,,,
RN17,C,A05,1,,4,,,,,,
RN18,C,B02,1,Yes,5,,Support,,,,
RN19,D,A04,1,,4,Yes,,,,,
RN20,E,B04,1,,5,,Support,,,,
RN21,E,B04,1,Yes,4,,,,,,
RN22,C,B03,0.75,Yes,5,Yes,,,,,
RN23,A,M01,1,Yes,3,,,,,,
RN24,F,B01,0.51,Yes,5,,Charge,,Yes,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Constraints,Soft,Soft,N/A,Hard,Hard,Hard,Hard,Soft w/Alert,Soft,Soft,Soft
